open,high,low,close,volume,time
76.291,79.587,75.081,79.023,16463313.3610,2022-05-01 00:00:00
79.042,82.251,78.000,80.001,18750487.7814,2022-05-02 00:00:00
80.001,81.609,77.744,78.757,8799761.7029,2022-05-03 00:00:00
78.759,83.982,78.644,83.475,14245164.5055,2022-05-04 00:00:00
83.476,84.599,76.000,78.168,21511122.0993,2022-05-05 00:00:00
78.156,80.720,76.800,78.660,18981721.5125,2022-05-06 00:00:00
78.660,78.954,74.626,76.073,10747211.0346,2022-05-07 00:00:00
76.073,76.340,73.000,74.163,13481358.4910,2022-05-08 00:00:00
74.177,75.868,62.499,63.810,51718758.7670,2022-05-09 00:00:00
63.795,70.215,61.866,67.107,37138077.1720,2022-05-10 00:00:00
67.140,68.396,49.000,54.347,108777237.6933,2022-05-11 00:00:00
54.339,55.873,44.236,49.507,140882901.1038,2022-05-12 00:00:00
49.518,60.285,48.889,54.848,67171625.6996,2022-05-13 00:00:00
54.848,57.228,51.283,55.158,31876211.8489,2022-05-14 00:00:00
55.158,58.211,53.721,58.038,22103628.1579,2022-05-15 00:00:00
58.050,58.050,52.750,54.542,32192711.4859,2022-05-16 00:00:00
54.570,56.985,53.919,56.686,24130627.6888,2022-05-17 00:00:00
56.687,57.227,51.682,51.844,28583716.7841,2022-05-18 00:00:00
51.854,54.089,50.261,53.734,26412554.0351,2022-05-19 00:00:00
53.735,56.326,51.351,52.451,26960723.7571,2022-05-20 00:00:00
52.452,53.468,51.603,53.069,14455673.7004,2022-05-21 00:00:00
53.043,54.444,52.504,53.985,15009569.3436,2022-05-22 00:00:00
53.993,54.833,51.176,51.750,20565096.0395,2022-05-23 00:00:00
51.801,52.825,49.503,51.778,28619358.4476,2022-05-24 00:00:00
51.778,52.592,50.297,51.600,25109684.3525,2022-05-25 00:00:00
51.596,52.256,47.826,49.843,35561943.7067,2022-05-26 00:00:00
49.813,51.100,47.832,48.511,29916459.1211,2022-05-27 00:00:00
48.511,49.438,48.391,49.176,12365564.9615,2022-05-28 00:00:00
49.149,49.726,48.323,49.504,11594956.8639,2022-05-29 00:00:00
49.516,53.592,49.232,53.502,26738532.2639,2022-05-30 00:00:00
53.519,55.488,52.373,54.277,29331975.6071,2022-05-31 00:00:00
54.274,54.949,50.546,51.782,24968293.6430,2022-06-01 00:00:00
51.818,52.815,50.744,52.647,21436237.3809,2022-06-02 00:00:00
52.648,53.267,50.243,51.054,20356260.0844,2022-06-03 00:00:00
51.077,51.517,50.340,51.334,10637914.4433,2022-06-04 00:00:00
51.344,52.175,51.024,51.646,8093667.9213,2022-06-05 00:00:00
51.630,53.412,51.455,53.134,17633913.4162,2022-06-06 00:00:00
53.138,55.279,51.010,54.060,26885186.5058,2022-06-07 00:00:00
54.057,54.359,52.511,53.751,17492389.4750,2022-06-08 00:00:00
53.791,53.979,53.000,53.760,12772451.5049,2022-06-09 00:00:00
53.759,55.019,50.600,51.352,20987038.2231,2022-06-10 00:00:00
51.350,52.252,48.001,48.416,18287939.7960,2022-06-11 00:00:00
48.459,49.182,45.800,46.366,28588598.8938,2022-06-12 00:00:00
46.339,47.270,40.611,41.954,72017752.7897,2022-06-13 00:00:00
41.926,44.050,39.636,43.469,47835568.7329,2022-06-14 00:00:00
43.488,46.500,40.251,46.119,55767253.6128,2022-06-15 00:00:00
46.103,46.539,40.801,41.546,35387333.6091,2022-06-16 00:00:00
41.532,45.764,41.140,43.378,36847097.9887,2022-06-17 00:00:00
43.403,44.136,39.137,41.671,37213748.4807,2022-06-18 00:00:00
41.670,44.850,40.401,44.109,26725429.4727,2022-06-19 00:00:00
44.118,44.372,42.352,43.528,31181737.1891,2022-06-20 00:00:00
43.537,45.952,43.055,44.843,26958350.0819,2022-06-21 00:00:00
44.850,44.893,43.414,43.771,26100494.8560,2022-06-22 00:00:00
43.793,45.400,43.649,45.285,18316913.2110,2022-06-23 00:00:00
45.298,52.142,45.187,49.620,50863482.1396,2022-06-24 00:00:00
49.651,50.400,47.913,49.718,20650138.6839,2022-06-25 00:00:00
49.737,50.710,48.348,48.575,15023609.7117,2022-06-26 00:00:00
48.552,49.500,47.056,47.993,19776877.4504,2022-06-27 00:00:00
47.994,48.278,45.620,45.885,23241074.7114,2022-06-28 00:00:00
45.872,46.451,43.853,45.007,21439503.2609,2022-06-29 00:00:00
45.021,45.298,41.646,45.130,33705559.1725,2022-06-30 00:00:00
45.109,45.724,42.000,42.534,27851236.0299,2022-07-01 00:00:00
42.572,43.022,42.001,42.747,11815600.0584,2022-07-02 00:00:00
42.764,44.167,41.883,43.504,13879905.9481,2022-07-03 00:00:00
43.504,44.842,42.756,44.749,17349578.5965,2022-07-04 00:00:00
44.743,45.081,42.681,44.049,18170447.7415,2022-07-05 00:00:00
44.023,45.365,43.257,45.121,14999449.6915,2022-07-06 00:00:00
45.124,46.772,44.300,46.445,17178110.7376,2022-07-07 00:00:00
46.439,48.699,45.733,46.302,31168689.0923,2022-07-08 00:00:00
46.294,47.317,46.175,46.964,9212608.7892,2022-07-09 00:00:00
46.928,46.928,43.640,44.424,15308702.2710,2022-07-10 00:00:00
44.443,45.204,42.715,43.319,14783648.9872,2022-07-11 00:00:00
43.331,43.735,42.236,42.624,14165747.4165,2022-07-12 00:00:00
42.659,44.800,41.700,44.529,26022798.5277,2022-07-13 00:00:00
44.546,46.313,43.408,46.290,16262790.3691,2022-07-14 00:00:00
46.313,48.294,45.385,46.297,29821778.1163,2022-07-15 00:00:00
